input,output
Acetic Acid,"{""Molecular Formula"": ""C\u2082H\u2084O\u2082"", ""Molar Mass"": ""60.05 g/mol"", ""Boiling Point"": ""118.1 \u00b0C"", ""Melting Point"": ""16.6 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Corrosive to metals and skin"", ""Density"": ""1.049 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.4 (0.1 M solution)""}"
Acetone,"{""Molecular Formula"": ""C\u2083H\u2086O"", ""Molar Mass"": ""58.08 g/mol"", ""Boiling Point"": ""56 \u00b0C"", ""Melting Point"": ""-95 \u00b0C"", ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""0.791 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Acetylene,"{""Molecular Formula"": ""C\u2082H\u2082"", ""Molar Mass"": ""26.04 g/mol"", ""Boiling Point"": ""-84 \u00b0C"", ""Melting Point"": ""-80.8 \u00b0C"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Extremely flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": ""1.097 kg/m\u00b3 (gas)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (gas)""}"
Acetylsalicylic Acid (Aspirin),"{""Molecular Formula"": ""C\u2089H\u2088O\u2084"", ""Molar Mass"": ""180.16 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""136 \u00b0C"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.40 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.5-3.5 (0.1 M solution)""}"
Adenine,"{""Molecular Formula"": ""C\u2085H\u2085N\u2085"", ""Molar Mass"": ""135.13 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""360 \u00b0C"", ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.61 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""9-10 (0.1 M solution)""}"
Adenosine Triphosphate (ATP),"{""Molecular Formula"": ""C\u2081\u2080H\u2081\u2086N\u2085O\u2081\u2083P\u2083"", ""Molar Mass"": ""507.18 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""Decomposes before melting"", ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""N/A (complex molecule)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6.5-7.5 (solution)""}"
Adipic Acid,"{""Molecular Formula"": ""C\u2086H\u2081\u2080O\u2084"", ""Molar Mass"": ""146.14 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""152 \u00b0C"", ""Water Solubility"": ""1.5 g/100 mL at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.36 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.0-2.5 (0.1 M solution)""}"
Aluminum(III) Oxide (Al₂O₃),"{""Molecular Formula"": ""Al\u2082O\u2083"", ""Molar Mass"": ""101.96 g/mol"", ""Boiling Point"": ""2,977 \u00b0C"", ""Melting Point"": ""2,072 \u00b0C"", ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""3.95-4.1 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Ammonia,"{""Molecular Formula"": ""NH\u2083"", ""Molar Mass"": ""17.03 g/mol"", ""Boiling Point"": ""-33.34 \u00b0C"", ""Melting Point"": ""-77.73 \u00b0C"", ""Water Solubility"": ""Highly soluble (482 g/L at 20 \u00b0C)"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": ""0.73 g/cm\u00b3 (gas)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""11.6 (1 M solution)""}"
Ascorbic Acid (Vitamin C),"{""Molecular Formula"": ""C\u2086H\u2088O\u2086"", ""Molar Mass"": ""176.12 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""190-192 \u00b0C"", ""Water Solubility"": ""330 g/L at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.65 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.1-2.6 (5% solution)""}"
