input,output
Acetic Acid,"['Molecular Formula: C₂H₄O₂', 'Molar Mass: 60.05 g/mol', 'Boiling Point: 118.1 °C', 'Melting Point: 16.6 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive to metals and skin', 'Density: 1.049 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.4 (0.1 M solution)']"
Acetone,"['Molecular Formula: C₃H₆O', 'Molar Mass: 58.08 g/mol', 'Boiling Point: 56 °C', 'Melting Point: -95 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Not corrosive', 'Density: 0.791 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Acetylene,"['Molecular Formula: C₂H₂', 'Molar Mass: 26.04 g/mol', 'Boiling Point: -84 °C', 'Melting Point: -80.8 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Not readily biodegradable', 'Flammability: Extremely flammable', 'Corrosivity: Non-corrosive', 'Density: 1.097 kg/m³ (gas)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (gas)']"
Acetylsalicylic Acid (Aspirin),"['Molecular Formula: C₉H₈O₄', 'Molar Mass: 180.16 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 136 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.40 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.5-3.5 (0.1 M solution)']"
Adenine,"['Molecular Formula: C₅H₅N₅', 'Molar Mass: 135.13 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 360 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.61 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 9-10 (0.1 M solution)']"
Adenosine Triphosphate (ATP),"['Molecular Formula: C₁₀H₁₆N₅O₁₃P₃', 'Molar Mass: 507.18 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex molecule)', 'Radioactivity: Non-radioactive', 'pH Value: 6.5-7.5 (solution)']"
Adipic Acid,"['Molecular Formula: C₆H₁₀O₄', 'Molar Mass: 146.14 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 152 °C', 'Water Solubility: 1.5 g/100 mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.36 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.0-2.5 (0.1 M solution)']"
Aluminum(III) Oxide (Al₂O₃),"['Molecular Formula: Al₂O₃', 'Molar Mass: 101.96 g/mol', 'Boiling Point: 2,977 °C', 'Melting Point: 2,072 °C', 'Water Solubility: Insoluble', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 3.95-4.1 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Ammonia,"['Molecular Formula: NH₃', 'Molar Mass: 17.03 g/mol', 'Boiling Point: -33.34 °C', 'Melting Point: -77.73 °C', 'Water Solubility: Highly soluble (482 g/L at 20 °C)', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 0.73 g/cm³ (gas)', 'Radioactivity: Non-radioactive', 'pH Value: 11.6 (1 M solution)']"
Ascorbic Acid (Vitamin C),"['Molecular Formula: C₆H₈O₆', 'Molar Mass: 176.12 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 190-192 °C', 'Water Solubility: 330 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.65 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.1-2.6 (5% solution)']"
Aspartame,"['Molecular Formula: C₁₄H₁₈N₂O₅', 'Molar Mass: 294.31 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 246-247 °C', 'Water Solubility: 10 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.347 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 4.5-6 (0.8% solution)']"
Benzene,"['Molecular Formula: C₆H₆', 'Molar Mass: 78.11 g/mol', 'Boiling Point: 80.1 °C', 'Melting Point: 5.5 °C', 'Water Solubility: 1.79 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Not corrosive', 'Density: 0.876 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Benzoic Acid,"['Molecular Formula: C₇H₆O₂', 'Molar Mass: 122.12 g/mol', 'Boiling Point: 249 °C', 'Melting Point: 122 °C', 'Water Solubility: 3.4 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Not corrosive', 'Density: 1.27 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.8 (saturated solution)']"
Biphenyl and PCBs (Polychlorinated Biphenyls),"['Molecular Formula: C₁₂H₁₀', 'Molar Mass: 154.21 g/mol', 'Boiling Point: 255 °C', 'Melting Point: 69 °C', 'Water Solubility: 6.94 mg/L at 25 °C', 'Biodegradability: PCBs are not readily biodegradable; biphenyl is biodegradable', 'Flammability: Flammable', 'Corrosivity: Not corrosive', 'Density: 1.04 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (biphenyl)']"
Butane,"['Molecular Formula: C₄H₁₀', 'Molar Mass: 58.12 g/mol', 'Boiling Point: -1 °C', 'Melting Point: -138 °C', 'Water Solubility: 61 mg/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.579 g/L (gas)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Butene,"['Molecular Formula: C₄H₈', 'Molar Mass: 56.11 g/mol', 'Boiling Point: -6.3 °C', 'Melting Point: -185 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.62 g/L (gas)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Butyric Acid and Fatty Acids,"['Molecular Formula (Butyric Acid): C₄H₈O₂', 'Molar Mass (Butyric Acid): 88.11 g/mol', 'Boiling Point (Butyric Acid): 163.5 °C', 'Melting Point (Butyric Acid): -5 °C', 'Water Solubility (Butyric Acid): Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive to metals and skin', 'Density (Butyric Acid): 0.96 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 3.8 (0.1 M solution)']"
